2026-07-18T16:38:39+0000 | INFO    | __main__ | [active_learning] round 9 cand 7: backbone=r9_c7_long_helix_capper n_designs=4 best_score=0.1887
2026-07-18T16:38:39+0000 | INFO    | __main__ | [active_learning] round 9 complete: round_best=0.2586, cumulative_best=0.2995
2026-07-18T16:38:39+0000 | INFO    | __main__ | running equal-budget random-search baseline...
2026-07-18T16:38:43+0000 | INFO    | __main__ | [random_search] round 0 cand 0: backbone=r0_c0_long_helix_capper n_designs=4 best_score=0.2232
2026-07-18T16:38:47+0000 | INFO    | __main__ | [random_search] round 0 cand 1: backbone=r0_c1_helix_hairpin n_designs=4 best_score=0.1649
2026-07-18T16:38:52+0000 | INFO    | __main__ | [random_search] round 0 cand 2: backbone=r0_c2_helix_strand_helix n_designs=4 best_score=0.1721
2026-07-18T16:38:56+0000 | INFO    | __main__ | [random_search] round 0 cand 3: backbone=r0_c3_helix_strand_helix n_designs=4 best_score=0.0889
2026-07-18T16:39:00+0000 | INFO    | __main__ | [random_search] round 0 cand 4: backbone=r0_c4_helix_hairpin n_designs=4 best_score=0.2304
2026-07-18T16:39:04+0000 | INFO    | __main__ | [random_search] round 0 cand 5: backbone=r0_c5_helix_hairpin n_designs=4 best_score=0.0684
2026-07-18T16:39:08+0000 | INFO    | __main__ | [random_search] round 0 cand 6: backbone=r0_c6_helix_hairpin n_designs=4 best_score=0.1856
2026-07-18T16:39:12+0000 | INFO    | __main__ | [random_search] round 0 cand 7: backbone=r0_c7_three_helix_bundle n_designs=4 best_score=0.1419
2026-07-18T16:39:12+0000 | INFO    | __main__ | [random_search] round 0 complete: round_best=0.2304, cumulative_best=0.2304
2026-07-18T16:39:17+0000 | INFO    | __main__ | [random_search] round 1 cand 0: backbone=r1_c0_three_helix_bundle n_designs=4 best_score=0.1467
